area|bedrooms|contractType|currentPhase|floor|isMarketplace|parkingSpots|price|productType|status|subwayShortestDistance|suits|towerHasElevator|lat|lng|streetType|neighborhood|taxRobberyMurder
204|3|exclusive|ready_to_move|11|1|2|1800000.0|market|FOR_SALE|731.276|1|0|-23.60053|-46.6684884|Avenida|Moema passaros|0.0
142|2|exclusive|set_up|7|0|2|1720000.0|select|FOR_SALE|820.737|2|0|-23.5341096|-46.6640544|Rua|Perdizes|0.0
72|3|exclusive|set_up|9|0|1|795000.0|select|FOR_SALE|2447.62|0|1|-23.6435613|-46.6717087|Rua|Campo belo|0.0
70|2|exclusive|ready_to_move|1|1|1|480000.0|market|FOR_SALE|583.255|1|1|-23.5352452|-46.575463|Rua|Tatuape|2.27
41|1|exclusive|set_up|9|0|1|785000.0|select|FOR_SALE|516.081|0|1|-23.5641767|-46.6431173|Rua|Bela vista|0.0
70|2|exclusive|set_up|8|0|2|897000.0|select|FOR_SALE|1290.84|0|0|-23.5417525|-46.7024707|Rua|Vila madalena|0.0
64|3|non_exclusive|ready_to_move|17|1|2|355000.0|market|FOR_SALE|3310.93|0|1|-23.6106415|-46.744247|Rua|Vila sonia|4.55
45|1|exclusive|set_up|10|0|1|1140000.0|select|FOR_SALE|531.228|1|1|-23.5679414|-46.6545237|Alameda|Jardim paulista|0.0
99|3|exclusive|ready_to_move|4|1|2|1250000.0|market|FOR_SALE|688.544|1|1|-23.6096432|-46.631205|Rua|Saude|2.27
71|2|exclusive|finishments|1|0|1|878000.0|select|FOR_SALE|1390.08|1|0|-23.5339009|-46.6916142|Rua|Vila romana|0.0
62|2|exclusive|ready_to_move|2|1|1|220000.0|market|SOLD|1301.65|0|0|-23.6014039|-46.5486768|Rua|Sao lucas|2.27
122|2|exclusive|set_up|9|0|2|2355000.0|select|FOR_SALE|1943.03|2|1|-23.5803526|-46.673012|Rua|Itaim bibi|0.0
72|3|exclusive|set_up|1|0|1|991000.0|select|FOR_SALE|2447.62|0|1|-23.6435613|-46.6717087|Rua|Campo belo|0.0
80|2|exclusive|ready_to_move|7|1|1|640000.0|market|FOR_SALE|601.64|1|1|-23.557654|-46.655303|Rua|Bela vista|0.0
38|1|exclusive|set_up|8|0|1|617000.0|select|FOR_SALE|936.335|1|0|-23.5409841|-46.6838043|Rua|Sumare|0.0
30|1|exclusive|ready_to_move|1|1|1|425000.0|market|FOR_SALE|322.96|1|1|-23.6028306|-46.658864|Avenida|Moema indios|0.0
103|3|exclusive|set_up|4|0|1|1290000.0|select|FOR_SALE|1535.94|1|1|-23.6019059|-46.6811026|Rua|Vila olimpia|0.0
116|3|exclusive|ready_to_move|6|1|2|1100000.0|market|FOR_SALE|4107.6|3|1|-23.5310824|-46.7275512|Rua|Vila leopoldina|0.0
64|2|exclusive|set_up|4|0|1|923000.0|select|FOR_SALE|367.445|0|0|-23.5468766|-46.6944203|Rua|Vila madalena|0.0
50|2|exclusive|ready_to_move|7|1|1|260000.0|market|FOR_SALE|1007.51|0|1|-23.5354279|-46.5546253|Rua|Tatuape|2.27
142|2|exclusive|set_up|2|0|2|1750000.0|select|FOR_SALE|820.737|2|0|-23.5341096|-46.6640544|Rua|Perdizes|0.0
98|2|exclusive|ready_to_move|4|1|0|500000.0|market|FOR_SALE|431.143|0|1|-23.532407|-46.660079|Rua|Santa cecilia|0.0
169|4|exclusive|final_details|7|0|4|2440000.0|select|FOR_SALE|1051.44|2|0|-23.5406696|-46.6627818|Rua|Higienopolis|0.0
60|1|exclusive|ready_to_move|4|1|1|699000.0|market|FOR_SALE|1960.31|1|1|-23.596681|-46.6814296|Rua|Vila olimpia|0.0
161|3|exclusive|set_up|3|0|3|3235000.0|select|FOR_SALE|1936.76|3|0|-23.5946937|-46.6785104|Rua|Vila olimpia|0.0
49|1|exclusive|ready_to_move|11|1|1|380000.0|market|FOR_SALE|2154.34|1|0|-23.623195|-46.735993|Rua|Vila andrade|0.0
112|3|exclusive|set_up|3|0|1|1310000.0|select|FOR_SALE|538.299|1|1|-23.5710805|-46.6520609|Avenida|Paraiso|0.0
198|3|exclusive|ready_to_move|11|1|2|1350000.0|market|FOR_SALE|1089.82|3|1|-23.5231649|-46.6519227|Rua|Bom retiro|0.0
88|3|exclusive|set_up|1|0|2|1140000.0|select|FOR_SALE|4792.11|1|0|-23.5258915|-46.7322336|Rua|Vila leopoldina|0.0
75|3|exclusive|ready_to_move|8|1|2|750000.0|market|FOR_SALE|1321.57|1|0|-23.5305948|-46.6793128|Rua|Perdizes|0.0
170|3|exclusive|set_up|2|0|3|1880000.0|select|FOR_SALE|4297.96|3|1|-23.5273464|-46.7275684|Rua|Vila leopoldina|0.0
62|2|exclusive|ready_to_move|26|1|1|600000.0|market|FOR_SALE|628.102|1|1|-23.5281796|-46.6539978|Rua|Bom retiro|0.0
155|2|exclusive|set_up|15|0|2|1900000.0|select|FOR_SALE|458.042|1|0|-23.5632856|-46.6809517|Rua|Pinheiros|0.0
136|3|exclusive|set_up|6|1|1|1520000.0|select|FOR_SALE|400.564|1|1|-23.5762962|-46.6449459|Rua|Paraiso|0.0
32|1|exclusive|ready_to_move|17|1|1|473000.0|market|FOR_SALE|591.943|1|0|-23.5758866|-46.6349637|Rua|Aclimacao|0.0
207|3|exclusive|final_details|4|0|2|2825000.0|select|FOR_SALE|723.326|1|0|-23.565443|-46.6610624|Rua|Jardim america|0.0
36|1|exclusive|ready_to_move|10|1|1|450000.0|market|FOR_SALE|442.998|1|1|-23.5366161|-46.6517125|Rua|Santa cecilia|0.0
152|4|exclusive|set_up|5|1|3|1720000.0|select|FOR_SALE|370.994|2|1|-23.5999306|-46.6484483|Rua|Vila clementino|0.0
45|1|exclusive|ready_to_move|1|1|0|270000.0|market|FOR_SALE|436.445|1|0|-23.5439079|-46.6474337|Rua|Republica|2.27
192|3|exclusive|ready_to_move|6|0|3|4330000.0|select|FOR_SALE|1396.47|3|0|-23.5934147|-46.6704153|Rua|Vila nova conceicao|0.0
156|3|exclusive|ready_to_move|9|1|2|1750000.0|market|FOR_SALE|589.737|3|0|-23.6036231|-46.6677712|Rua|Moema passaros|0.0
161|4|exclusive|set_up|2|0|3|2160000.0|select|FOR_SALE|566.667|1|0|-23.6051286|-46.6671946|Alameda|Moema passaros|0.0
121|3|exclusive|ready_to_move|8|1|3|800000.0|market|FOR_SALE|2267.98|3|1|-23.477656|-46.6324771|Avenida|Mandaqui|0.0
103|3|exclusive|finishments|6|0|2|1855000.0|select|FOR_SALE|323.761|1|0|-23.6059559|-46.6633639|Avenida|Moema indios|0.0
43|1|exclusive|ready_to_move|8|1|1|600000.0|market|SOLD|474.767|1|1|-23.619978|-46.67740052|Avenida|Campo belo|0.0
169|4|exclusive|set_up|3|0|2|2420000.0|select|FOR_SALE|679.83|3|0|-23.6012791|-46.6682784|Rua|Moema passaros|0.0
186|4|non_exclusive|ready_to_move|3|1|3|1780000.0|market|FOR_SALE|691.476|3|1|-23.6183569|-46.6749486|Rua|Campo belo|0.0
78|3|exclusive|ready_to_move|5|1|2|870000.0|select|FOR_SALE|2961.7|1|1|-23.5340272|-46.7166073|Rua|Alto da lapa|0.0
60|1|non_exclusive|ready_to_move|11|1|1|665000.0|market|SOLD|546.145|1|1|-23.6071636|-46.6586347|Avenida|Moema indios|0.0
70|2|exclusive|ready_to_move|7|1|1|1080000.0|select|FOR_SALE|1857.4|1|1|-23.5296757|-46.6909335|Rua|Vila romana|0.0
104|2|exclusive|ready_to_move|16|1|0|820000.0|market|SOLD|261.517|0|1|-23.567184|-46.6491351|Avenida|Bela vista|0.0
56|2|exclusive|ready_to_move|4|0|1|1330000.0|select|FOR_SALE|1019.22|1|0|-23.5529335|-46.6978659|Rua|Vila madalena|0.0
138|2|exclusive|finishments|10|0|1|1140000.0|select|FOR_SALE|1249.14|1|0|-23.5370414|-46.6693585|Rua|Perdizes|0.0
53|2|non_exclusive|ready_to_move|1|1|1|230000.0|market|FOR_SALE|4239.23|0|0|-23.4718196|-46.6521185|Rua|Cachoeirinha|0.0
103|3|exclusive|ready_to_move|4|1|2|1400000.0|select|FOR_SALE|1964.85|1|0|-23.5287212|-46.6901532|Rua|Vila romana|0.0
91|2|non_exclusive|ready_to_move|4|1|2|1030000.0|market|FOR_SALE|2516.28|2|1|-23.5238963|-46.6936924|Rua|Vila romana|0.0
111|3|exclusive|set_up|5|0|1|1470000.0|select|FOR_SALE|1865.88|1|1|-23.5969871|-46.6803752|Rua|Vila olimpia|0.0
41|1|exclusive|ready_to_move|13|1|1|620000.0|market|FOR_SALE|2689.16|1|0|-23.5940737|-46.6887343|Rua|Vila olimpia|0.0
